yourlist:M20201204A94466D2655679D1FD8953E075198DA81C43253	Entry
APBB1	A0A075B7G8
APBB1	A0A087WYH9
APBB1	A0A087X0V7
APBB1	J3KPL8
APBB1	O00213
APBB1	Q8TEY4
APBB1	V9GY97
APBB1	V9GYD5
APBB1	V9GYR7
APBB2	A0A0S2Z3A0
APBB2	A0A0S2Z3A2
APBB2	A0A1D5RMR3
APBB2	D6RAE0
APBB2	D6RAJ4
APBB2	D6RB00
APBB2	D6RB55
APBB2	D6RD19
APBB2	D6RDY3
APBB2	D6RGD4
APBB2	G5E9Y1
APBB2	H0Y943
APBB2	H0Y9U9
APBB2	H0YA92
APBB2	H0YAJ5
APBB2	Q5I0G1
APBB2	Q92870
APBB3	B3KQG2
APBB3	D6RBA1
APBB3	D6RJB2
APBB3	E7EX91
APBB3	O95704
APBB3	Q54A46
APBB3	Q86Z13
APBB3	Q96DX9
APH1A	Q5TB21
APH1A	Q96BI3
APH1B	H0YKZ9
APH1B	H0YLT0
APH1B	H0YM95
APH1B	Q4R1J8
APH1B	Q8WW43
APOA1	A0A024R3E3
APOA1	F8W696
APOA1	P02647
APOA1	Q6LEJ8
APOA4	P06727
APOA4	Q13784
APOC1	A0A024R0T8
APOC1	K7EJI9
APOC1	K7EKP1
APOC1	K7ELM9
APOC1	K7ELU7
APOC1	K7EPF9
APOC1	K7EPR9
APOC1	K7ERI9
APOC1	P02654
APOC2	A0A024R0T9
APOC2	A0A0S2Z3C2
APOC2	P02655
APOC2	Q6P163
APOC2	V9GYJ8
APOC2	V9GZ01
APOC4	A5YAK2
APOC4	K7EMC3
APOC4	P55056
APOD	C9JF17
APOD	C9JX71
APOD	F8WBT9
APOD	P05090
APOE	A0A0S2Z3B1
APOE	A0A0S2Z3D5
APOE	A0A0S2Z3J5
APOE	A0A0S2Z3V0
APOE	A0A346DBY2
APOE	D9ZB55
APOE	E7ERP7
APOE	E9PEV4
APOE	H0Y7L5
APOE	J9ZVQ3
APOE	P02649
APOE	Q8TCZ8
APP	A0A0A0MRG2
APP	A0A218KGR2
APP	E9PG40
APP	H7C0V9
APP	H7C2L2
APP	L7XCZ9
APP	L7XE61
APP	L8EC46
APP	P05067
APP	Q9BYY9
AR	A0A087WUX9
AR	A0A087X1B6
AR	A0A3G2C3P2
AR	A0A6H0MAB3
AR	A0A6H0MAE6
AR	C0JKD5
AR	C0JKD6
AR	C0JKD7
AR	D2KF13
AR	D2Y6K2
AR	D3YPP9
AR	D3YPQ0
AR	D3YPQ1
AR	D3YPQ2
AR	D3YPQ3
AR	D5M8Q2
AR	E9PEG3
AR	F5GZG9
AR	P10275
AR	Q13771
AR	Q9UKJ6
AR	V9GZH8
AR	V9TLK5
AR	X5DNC5
ARC	O60936
ARC	Q7LC44
ARMS2	B2Y7I6
ARMS2	P0C7Q2
ARSB	A0A024RAJ9
ARSB	A0A2U3U034
ARSB	E5RHC4
ARSB	P15848
ARSJ	D6RGC1
ARSJ	Q5FYB0
ARSJ	Q8N5N6
ATF7	F8VWG7
ATF7	K7EKZ7
ATF7	K7ESA4
ATF7	P17544
ATP7B	A0A024RDX3
ATP7B	A0A0U1RQY8
ATP7B	A0A0U1RRG1
ATP7B	A0A2Z5ENW8
ATP7B	A0A2Z5ENX0
ATP7B	A0A2Z5ENX2
ATP7B	A0A2Z5ENX4
ATP7B	A0A2Z5ENX7
ATP7B	A0A2Z5ENX9
ATP7B	A0A2Z5ENY1
ATP7B	A0A669KA36
ATP7B	A0A669KB21
ATP7B	A0A669KB88
ATP7B	A1YIY1
ATP7B	A6N865
ATP7B	A6YQZ0
ATP7B	A6YQZ1
ATP7B	A7UDR4
ATP7B	B7ZLR2
ATP7B	B7ZLR3
ATP7B	B7ZLR4
ATP7B	C0LF55
ATP7B	C8BMD5
ATP7B	D3KCZ0
ATP7B	E7ET55
ATP7B	F5H562
ATP7B	F5H748
ATP7B	G1FFE8
ATP7B	G1FFE9
ATP7B	G1FFF0
ATP7B	G1FFF1
ATP7B	G1FFF2
ATP7B	G1FFF3
ATP7B	G8FXH4
ATP7B	P35670
ATP7B	Q17RT3
ATP7B	Q52RG2
ATP7B	Q52RG3
ATP7B	Q52RG4
ATP7B	Q52RG5
ATP7B	Q52RG6
ATP7B	Q9GZP5
ATP7B	Q9HBD5
ATP7B	Q9HBD6
ATP7B	Q9HBD7
ATP7B	Q9HBD8
ATP7B	Q9HBD9
ATXN1	A0A024R005
ATXN1	A0A2R8YCF3
ATXN1	P54253
ATXN1	Q96C81
ATXN1	Q96FF1
BACE1	A0A024R3D5
BACE1	A0A024R3D7
BACE1	A0A024R3E8
BACE1	A0A024R3F9
BACE1	B7Z3Z4
BACE1	E9PJG7
BACE1	H0YDX0
BACE1	P56817
