yourlist:M20201204A94466D2655679D1FD8953E075198DA81C43253	Entry
HLA-A	A0A1X9I4J7
HLA-A	A0A1X9I4K7
HLA-A	A0A1X9I4L5
HLA-A	A0A1X9I4M6
HLA-A	A0A1X9I4P2
HLA-A	A0A1X9I5B7
HLA-A	A0A1X9I5C7
HLA-A	A0A1X9I5D8
HLA-A	A0A1X9I5E3
HLA-A	A0A1X9I5F5
HLA-A	A0A1X9I5G1
HLA-A	A0A1X9I5H3
HLA-A	A0A1X9I5I4
HLA-A	A0A1X9PY90
HLA-A	A0A1Y5VQX9
HLA-A	A0A1Y5VRC7
HLA-A	A0A1Y6MTK5
HLA-A	A0A1Z1EGK5
HLA-A	A0A1Z1VXE9
HLA-A	A0A1Z1VXF1
HLA-A	A0A1Z1VXF6
HLA-A	A0A1Z1VXF7
HLA-A	A0A1Z1VXF8
HLA-A	A0A1Z1W2A7
HLA-A	A0A1Z2R875
HLA-A	A0A1Z2R893
HLA-A	A0A1Z2RP15
HLA-A	A0A1Z2RP28
HLA-A	A0A1Z2RP38
HLA-A	A0A1Z2RTJ0
HLA-A	A0A1Z2RTJ5
HLA-A	A0A1Z2RTK1
HLA-A	A0A1Z2RTK2
HLA-A	A0A1Z2RTK7
HLA-A	A0A1Z2RTL3
HLA-A	A0A1Z2RTN7
HLA-A	A0A1Z2RTN8
HLA-A	A0A1Z2RTP1
HLA-A	A0A1Z2RTQ8
HLA-A	A0A1Z2RTQ9
HLA-A	A0A212MH17
HLA-A	A0A218N9T3
HLA-A	A0A220A3H0
HLA-A	A0A220IGB9
HLA-A	A0A222YTD5
HLA-A	A0A223FKV7
HLA-A	A0A223FKW4
HLA-A	A0A223FKW9
HLA-A	A0A223FKX1
HLA-A	A0A223FKY8
HLA-A	A0A223FKZ7
HLA-A	A0A223FL01
HLA-A	A0A223FL07
HLA-A	A0A223FL08
HLA-A	A0A223FL14
HLA-A	A0A223FL67
HLA-A	A0A223FL72
HLA-A	A0A223FL78
HLA-A	A0A223FL85
HLA-A	A0A223FL90
HLA-A	A0A223FLI6
HLA-A	A0A223FLI8
HLA-A	A0A223PK90
HLA-A	A0A238DAL8
HLA-A	A0A238HCM2
HLA-A	A0A238HDN6
HLA-A	A0A238TQ66
HLA-A	A0A286LD90
HLA-A	A0A286LD92
HLA-A	A0A286LD94
HLA-A	A0A286LD96
HLA-A	A0A286LD97
HLA-A	A0A286LD98
HLA-A	A0A286LDA0
HLA-A	A0A286LDA1
HLA-A	A0A286LDA3
HLA-A	A0A286LDA4
HLA-A	A0A286LDA5
HLA-A	A0A286LDA6
HLA-A	A0A286LDA7
HLA-A	A0A286LDA8
HLA-A	A0A286LDA9
HLA-A	A0A286LDB0
HLA-A	A0A286LDB1
HLA-A	A0A286LDB2
HLA-A	A0A286LDB3
HLA-A	A0A286LDB4
HLA-A	A0A286LDB6
HLA-A	A0A286LDB8
HLA-A	A0A286LDB9
HLA-A	A0A286LDC0
HLA-A	A0A286LDC1
HLA-A	A0A286LDC2
HLA-A	A0A286LDC3
HLA-A	A0A286LDD2
HLA-A	A0A286MC51
HLA-A	A0A286MC52
HLA-A	A0A286MC54
HLA-A	A0A286R104
HLA-A	A0A286R107
HLA-A	A0A286RNF0
HLA-A	A0A286RNF2
HLA-A	A0A286RNF6
HLA-A	A0A286RNF9
HLA-A	A0A286RNG0
HLA-A	A0A286RNG2
HLA-A	A0A286RNG3
HLA-A	A0A286RNG4
HLA-A	A0A286RNG5
HLA-A	A0A286RNG6
HLA-A	A0A286RNG7
HLA-A	A0A286RNG8
HLA-A	A0A286RNG9
HLA-A	A0A286RNH0
HLA-A	A0A286RNH2
HLA-A	A0A286RNH6
HLA-A	A0A286RNH8
HLA-A	A0A286RNH9
HLA-A	A0A286RNI0
HLA-A	A0A286RNI5
HLA-A	A0A286RNI7
HLA-A	A0A286RYQ4
HLA-A	A0A288Q8S1
HLA-A	A0A288Q8S4
HLA-A	A0A288Q8S9
HLA-A	A0A288Q8T6
HLA-A	A0A288Q8T9
HLA-A	A0A288Q8U2
HLA-A	A0A288Q8U7
HLA-A	A0A288Q8V2
HLA-A	A0A288Q8V4
HLA-A	A0A288Q8V9
HLA-A	A0A288Q8W0
HLA-A	A0A288Q8W7
HLA-A	A0A288Q8X5
HLA-A	A0A288Q9J8
HLA-A	A0A288Q9K5
HLA-A	A0A288Q9L3
HLA-A	A0A288Q9L9
HLA-A	A0A288Q9M5
HLA-A	A0A288Q9N3
HLA-A	A0A288Q9P2
HLA-A	A0A288QBX4
HLA-A	A0A288QBY1
HLA-A	A0A288QBZ0
HLA-A	A0A288QC03
HLA-A	A0A288QC11
HLA-A	A0A288QC20
HLA-A	A0A288QC30
HLA-A	A0A288QCN9
HLA-A	A0A288QCP7
HLA-A	A0A288QCQ8
HLA-A	A0A288QCR4
HLA-A	A0A288QCS1
HLA-A	A0A288QCS8
HLA-A	A0A288QCT7
HLA-A	A0A288QER0
HLA-A	A0A288QER7
HLA-A	A0A288QES5
HLA-A	A0A288QET2
HLA-A	A0A288QEU0
HLA-A	A0A288QEU7
HLA-A	A0A288QEV6
HLA-A	A0A288QRC2
HLA-A	A0A288QRC9
HLA-A	A0A288QRD7
HLA-A	A0A288QRE4
HLA-A	A0A288QRF2
HLA-A	A0A288QRF9
HLA-A	A0A288QRG6
HLA-A	A0A288QXR8
HLA-A	A0A288QXS9
HLA-A	A0A288QXT9
HLA-A	A0A288QXV2
HLA-A	A0A288QXW0
HLA-A	A0A288QXX0
HLA-A	A0A288R0D9
HLA-A	A0A288R0E7
HLA-A	A0A288R0F2
HLA-A	A0A288R0F9
HLA-A	A0A288R0G6
HLA-A	A0A288R0H2
HLA-A	A0A288R0I0
HLA-A	A0A288R129
HLA-A	A0A288R136
HLA-A	A0A288R146
HLA-A	A0A288R155
HLA-A	A0A288R159
HLA-A	A0A288R166
HLA-A	A0A288R173
HLA-A	A0A291HVI4
HLA-A	A0A291NGJ9
HLA-A	A0A291NGK6
HLA-A	A0A291NGN0
HLA-A	A0A291NMV1
HLA-A	A0A2D1CBM7
HLA-A	A0A2D1CHG2
HLA-A	A0A2D1WB98
HLA-A	A0A2D1WB99
HLA-A	A0A2D1WBC6
HLA-A	A0A2H4FZ96
HLA-A	A0A2H4FZ98
HLA-A	A0A2H4FZA1
HLA-A	A0A2H4FZA4
HLA-A	A0A2H4FZA5
HLA-A	A0A2H4FZA6
HLA-A	A0A2H4FZA7
HLA-A	A0A2H4FZA8
HLA-A	A0A2H4FZB0
HLA-A	A0A2H4FZB4
HLA-A	A0A2H4FZB5
HLA-A	A0A2H4FZB6
HLA-A	A0A2H4FZB7
HLA-A	A0A2H4FZB8
HLA-A	A0A2H4FZB9
HLA-A	A0A2H4FZC2
HLA-A	A0A2H4FZC3
HLA-A	A0A2H4FZC5
HLA-A	A0A2H4FZC6
HLA-A	A0A2H4FZC7
HLA-A	A0A2H4FZC9
HLA-A	A0A2H4FZD1
HLA-A	A0A2H4FZD2
HLA-A	A0A2H4FZD3
HLA-A	A0A2H4FZD6
HLA-A	A0A2H4FZD7
HLA-A	A0A2H4FZD8
HLA-A	A0A2H4FZE1
HLA-A	A0A2H4FZE2
HLA-A	A0A2H4FZE3
HLA-A	A0A2H4FZE4
HLA-A	A0A2H4FZE6
HLA-A	A0A2H4FZE7
HLA-A	A0A2H4FZF0
HLA-A	A0A2H4FZF1
HLA-A	A0A2H4FZF4
HLA-A	A0A2H4FZF5
HLA-A	A0A2H4FZW9
HLA-A	A0A2H4FZX7
HLA-A	A0A2H4FZY6
HLA-A	A0A2H4FZZ6
HLA-A	A0A2H4G006
HLA-A	A0A2H4G016
HLA-A	A0A2H4G024
HLA-A	A0A2H4G2G8
HLA-A	A0A2H4G2H6
HLA-A	A0A2H4G2I2
HLA-A	A0A2H4G2I9
HLA-A	A0A2H4G2J6
HLA-A	A0A2H4G2K1
HLA-A	A0A2H4G3S9
HLA-A	A0A2H4G3T9
HLA-A	A0A2H4G3U9
HLA-A	A0A2H4G3V8
HLA-A	A0A2H4G3W0
HLA-A	A0A2H4G3W7
HLA-A	A0A2H4G3X0
HLA-A	A0A2H4G3X2
HLA-A	A0A2H4G3Y0
HLA-A	A0A2H4G3Y8
HLA-A	A0A2H4G3Z8
HLA-A	A0A2H4G408
HLA-A	A0A2H4RK80
HLA-A	A0A2H4RK91
HLA-A	A0A2H4UK27
HLA-A	A0A2H4UK28
HLA-A	A0A2H4UK40
HLA-A	A0A2H4V0S9
HLA-A	A0A2H4V664
HLA-A	A0A2H4WPW3
HLA-A	A0A2H4WPW6
HLA-A	A0A2H4WPX0
HLA-A	A0A2H4WPX6
HLA-A	A0A2H4WPX7
HLA-A	A0A2H4WPY0
HLA-A	A0A2H4WPY5
HLA-A	A0A2H4WPY6
HLA-A	A0A2H4WPY7
HLA-A	A0A2H4WPY8
HLA-A	A0A2H4WPY9
HLA-A	A0A2H4WPZ0
HLA-A	A0A2H4WPZ2
HLA-A	A0A2H4WPZ8
HLA-A	A0A2H4WPZ9
HLA-A	A0A2H4WQ02
HLA-A	A0A2H4WQ03
HLA-A	A0A2H4WQ08
HLA-A	A0A2H4WQ10
HLA-A	A0A2H4WQ12
HLA-A	A0A2H4Z997
HLA-A	A0A2H4ZAR8
HLA-A	A0A2H4ZAS3
HLA-A	A0A2H4ZAS5
HLA-A	A0A2H4ZAS6
HLA-A	A0A2H4ZAS9
HLA-A	A0A2H4ZAT0
HLA-A	A0A2H4ZAT3
HLA-A	A0A2H4ZAT7
HLA-A	A0A2H4ZAT9
HLA-A	A0A2H4ZAU0
HLA-A	A0A2H4ZAU2
HLA-A	A0A2H4ZAU7
HLA-A	A0A2H4ZAV0
HLA-A	A0A2H4ZAV3
HLA-A	A0A2H4ZAV4
HLA-A	A0A2H4ZRT0
HLA-A	A0A2H5CP65
HLA-A	A0A2H5CPE7
HLA-A	A0A2I4PYZ2
HLA-A	A0A2I4PYZ3
HLA-A	A0A2I4PYZ8
HLA-A	A0A2I4PYZ9
HLA-A	A0A2I4PZ00
HLA-A	A0A2I4PZ01
HLA-A	A0A2I4PZ04
HLA-A	A0A2I4PZ05
HLA-A	A0A2I4PZ06
HLA-A	A0A2I4PZ07
HLA-A	A0A2I4PZ08
HLA-A	A0A2I4PZ09
HLA-A	A0A2I4PZ10
HLA-A	A0A2I4PZ11
HLA-A	A0A2I4PZ12
HLA-A	A0A2I4PZ13
HLA-A	A0A2I4PZ16
HLA-A	A0A2I4PZ17
HLA-A	A0A2I4PZ18
HLA-A	A0A2I4PZ19
HLA-A	A0A2I4PZ20
HLA-A	A0A2I4PZ21
HLA-A	A0A2I4PZ22
HLA-A	A0A2I4PZ24
HLA-A	A0A2I4PZ26
HLA-A	A0A2I4PZ27
HLA-A	A0A2I4PZ28
HLA-A	A0A2I4PZ29
HLA-A	A0A2I4PZ30
HLA-A	A0A2I4PZ33
HLA-A	A0A2I4PZ35
HLA-A	A0A2I4PZ37
HLA-A	A0A2I4PZ38
HLA-A	A0A2I4PZ39
HLA-A	A0A2I4PZ40
HLA-A	A0A2I4PZ41
HLA-A	A0A2I4PZ43
HLA-A	A0A2I4PZ44
HLA-A	A0A2I4PZ47
HLA-A	A0A2I4PZ48
HLA-A	A0A2I4PZ49
HLA-A	A0A2I4PZ50
HLA-A	A0A2I4PZ51
HLA-A	A0A2I4PZ53
HLA-A	A0A2I4PZ54
HLA-A	A0A2I4PZ55
HLA-A	A0A2I4PZ58
HLA-A	A0A2I4PZ59
HLA-A	A0A2I4PZ61
HLA-A	A0A2I4PZ62
HLA-A	A0A2I4PZ63
HLA-A	A0A2I4PZ64
HLA-A	A0A2I4PZ66
HLA-A	A0A2I4PZ67
HLA-A	A0A2I4PZ70
HLA-A	A0A2I4PZ72
HLA-A	A0A2I4PZL0
HLA-A	A0A2I4PZL9
HLA-A	A0A2I4PZM6
HLA-A	A0A2I4PZM7
HLA-A	A0A2I4PZN6
HLA-A	A0A2I4PZN8
HLA-A	A0A2I4PZP4
HLA-A	A0A2I4PZP7
HLA-A	A0A2I4PZQ3
HLA-A	A0A2I4PZR2
HLA-A	A0A2I4PZS0
HLA-A	A0A2I4PZS7
HLA-A	A0A2I4PZT0
HLA-A	A0A2I4PZT9
HLA-A	A0A2I4PZV1
HLA-A	A0A2I6J488
HLA-A	A0A2I6J489
HLA-A	A0A2I6J4A5
HLA-A	A0A2I6J4A6
HLA-A	A0A2I6J4A7
HLA-A	A0A2I6J4B0
HLA-A	A0A2I6J4B1
HLA-A	A0A2I6J4B5
HLA-A	A0A2I6J4B6
HLA-A	A0A2I6J4C1
HLA-A	A0A2I6J4C3
HLA-A	A0A2I6J4C7
HLA-A	A0A2I6J4D2
HLA-A	A0A2I6J4D3
HLA-A	A0A2I6J4D4
HLA-A	A0A2I6J4D9
HLA-A	A0A2I6J4E1
HLA-A	A0A2I6J4E2
HLA-A	A0A2I6J4E5
HLA-A	A0A2I6SQU3
HLA-A	A0A2K4N7U6
HLA-A	A0A2K4N814
HLA-A	A0A2K4N817
HLA-A	A0A2K4N833
HLA-A	A0A2K4N851
HLA-A	A0A2K4N853
HLA-A	A0A2K4N859
HLA-A	A0A2K4N860
HLA-A	A0A2K4N8G0
HLA-A	A0A2K4Y3F8
HLA-A	A0A2K4Y3H1
HLA-A	A0A2K4Y3L4
HLA-A	A0A2K9UYT2
HLA-A	A0A2K9UYT3
HLA-A	A0A2L0RIL7
HLA-A	A0A2L0RIM5
HLA-A	A0A2L0VYB1
HLA-A	A0A2L2BMY4
HLA-A	A0A2P0W8C0
HLA-A	A0A2P0W8C1
HLA-A	A0A2P0W8C7
HLA-A	A0A2P0W8D2
HLA-A	A0A2P0W8E3
HLA-A	A0A2P0W8E8
HLA-A	A0A2P0W8U1
HLA-A	A0A2P1CQD6
HLA-A	A0A2P1CQG7
HLA-A	A0A2P1CQH6
HLA-A	A0A2P1CXW7
HLA-A	A0A2P1DTP7
HLA-A	A0A2P1G6E1
HLA-A	A0A2P1K6F1
HLA-A	A0A2P9FID8
HLA-A	A0A2P9FIE8
HLA-A	A0A2P9FIE9
HLA-A	A0A2P9FIF5
HLA-A	A0A2P9FIF6
HLA-A	A0A2P9FIF7
HLA-A	A0A2P9FIF8
HLA-A	A0A2P9FIG3
HLA-A	A0A2P9FIG5
HLA-A	A0A2P9FIG6
HLA-A	A0A2P9FIG8
HLA-A	A0A2P9FIH2
HLA-A	A0A2P9FIH4
HLA-A	A0A2P9FIH7
HLA-A	A0A2P9FIH8
HLA-A	A0A2P9FII0
HLA-A	A0A2P9FII2
HLA-A	A0A2P9FII5
HLA-A	A0A2P9FIJ6
HLA-A	A0A2P9FIK5
HLA-A	A0A2P9FIL6
HLA-A	A0A2P9FIL8
HLA-A	A0A2P9FIM2
HLA-A	A0A2P9FIN2
HLA-A	A0A2P9FIN4
HLA-A	A0A2P9FIN9
HLA-A	A0A2P9FIP2
HLA-A	A0A2P9FIP7
HLA-A	A0A2P9FIQ0
HLA-A	A0A2P9FIR9
HLA-A	A0A2P9FIS2
HLA-A	A0A2P9FIS3
HLA-A	A0A2P9FIS9
HLA-A	A0A2P9FIT0
HLA-A	A0A2P9FIT1
HLA-A	A0A2P9FIU0
HLA-A	A0A2P9FIU1
HLA-A	A0A2P9FIU2
HLA-A	A0A2P9FIU9
HLA-A	A0A2R2WVJ3
HLA-A	A0A2R3STY5
HLA-A	A0A2R3U9W8
HLA-A	A0A2R4KZT8
HLA-A	A0A2R4KZU6
HLA-A	A0A2R4KZU9
HLA-A	A0A2R4RN24
HLA-A	A0A2R8A611
HLA-A	A0A2R8BPU9
HLA-A	A0A2R8BQ37
HLA-A	A0A2S0SYR3
HLA-A	A0A2S0SYS7
HLA-A	A0A2S0SYT6
HLA-A	A0A2S0SYY2
HLA-A	A0A2S1B6F3
HLA-A	A0A2S1B6U6
HLA-A	A0A2S1B6V2
HLA-A	A0A2S1B6V4
HLA-A	A0A2S1B6V5
HLA-A	A0A2S1B6V6
HLA-A	A0A2S1B6W6
HLA-A	A0A2S1ZAK4
HLA-A	A0A2U3QLE8
HLA-A	A0A2U3QLF5
HLA-A	A0A2U3QLF8
HLA-A	A0A2U3QLG2
HLA-A	A0A2U3QLG3
HLA-A	A0A2U3QLG4
HLA-A	A0A2U3QLG5
HLA-A	A0A2U3QLG6
HLA-A	A0A2U3QLH4
HLA-A	A0A2U3QLH6
HLA-A	A0A2U3QLH8
HLA-A	A0A2U3QLI3
HLA-A	A0A2U3QLI6
HLA-A	A0A2U3QLI7
HLA-A	A0A2U3QLI8
HLA-A	A0A2U3QLI9
HLA-A	A0A2U3QLJ1
HLA-A	A0A2U3QLJ3
HLA-A	A0A2U3QLJ5
HLA-A	A0A2U3QLJ6
HLA-A	A0A2U3QLJ8
HLA-A	A0A2U3QLJ9
HLA-A	A0A2U3QLK0
HLA-A	A0A2U3QLL1
HLA-A	A0A2U3QLL2
HLA-A	A0A2U3QLL3
HLA-A	A0A2U3QLL5
HLA-A	A0A2U3QLL7
HLA-A	A0A2U3QLL9
HLA-A	A0A2U3QLM0
HLA-A	A0A2U3QLM4
HLA-A	A0A2U3QLM8
HLA-A	A0A2U3QLP6
HLA-A	A0A2U3QLQ4
HLA-A	A0A2U7MWC2
HLA-A	A0A2U7MWC5
HLA-A	A0A2U7MWC6
HLA-A	A0A2U7MWD2
HLA-A	A0A2U7MWD5
HLA-A	A0A2U7MWD9
HLA-A	A0A2U7MWE2
HLA-A	A0A2U7MWE4
HLA-A	A0A2U7MWE9
HLA-A	A0A2U7MWF4
HLA-A	A0A2U7MZG2
HLA-A	A0A2U7MZG9
HLA-A	A0A2U7MZH5
HLA-A	A0A2U7MZI0
HLA-A	A0A2U7MZI8
HLA-A	A0A2U7N394
HLA-A	A0A2U7N3A1
HLA-A	A0A2U7N3A5
HLA-A	A0A2U7N3B1
HLA-A	A0A2U7N3B6
HLA-A	A0A2U7N6M3
HLA-A	A0A2U7N6N0
HLA-A	A0A2U7N6N4
HLA-A	A0A2U7N6N9
HLA-A	A0A2U7N6P6
HLA-A	A0A2U7N9L4
HLA-A	A0A2U7N9L7
HLA-A	A0A2U7N9M2
HLA-A	A0A2U7N9M9
HLA-A	A0A2U7N9N3
HLA-A	A0A2U7NE42
HLA-A	A0A2U7NE47
HLA-A	A0A2U7NE54
HLA-A	A0A2U7NE60
HLA-A	A0A2U7NE66
HLA-A	A0A2U7NGR5
HLA-A	A0A2U7NGS2
HLA-A	A0A2U7NGS7
HLA-A	A0A2U7NGT5
HLA-A	A0A2U7NGU0
HLA-A	A0A2U7NI32
HLA-A	A0A2U7NI36
HLA-A	A0A2U7NI43
HLA-A	A0A2U7NI48
HLA-A	A0A2U7NI54
HLA-A	A0A2U7NMV9
HLA-A	A0A2U7NMW3
HLA-A	A0A2U7NMX0
HLA-A	A0A2U7NMX5
HLA-A	A0A2U7NMY0
HLA-A	A0A2U8LMN2
HLA-A	A0A2U8RNL0
HLA-A	A0A2U8RNM3
HLA-A	A0A2U9AEP6
HLA-A	A0A2U9AEP8
HLA-A	A0A2Z2GXL0
HLA-A	A0A2Z4BY63
HLA-A	A0A2Z4BYD7
HLA-A	A0A2Z4C138
HLA-A	A0A2Z4LG68
HLA-A	A0A2Z4LZ16
HLA-A	A0A2Z5BTT3
HLA-A	A0A2Z5WLA6
HLA-A	A0A2Z5ZNJ5
HLA-A	A0A2Z6DS69
HLA-A	A0A2Z6DS77
HLA-A	A0A2Z6IEZ1
HLA-A	A0A330LA14
HLA-A	A0A330NHT5
HLA-A	A0A330NMI6
HLA-A	A0A343J4V5
HLA-A	A0A343J4V6
HLA-A	A0A343J4V7
HLA-A	A0A343J4V8
HLA-A	A0A343J4V9
HLA-A	A0A343J4W0
HLA-A	A0A345F0V2
HLA-A	A0A345F7A5
HLA-A	A0A345F7A6
HLA-A	A0A345F7A7
HLA-A	A0A345F7A8
HLA-A	A0A345F7A9
HLA-A	A0A346A6A5
HLA-A	A0A346FLH5
HLA-A	A0A346FLH9
HLA-A	A0A346FLI0
HLA-A	A0A346HFZ2
HLA-A	A0A346HFZ3
HLA-A	A0A346HFZ4
HLA-A	A0A346HFZ6
HLA-A	A0A346HFZ7
HLA-A	A0A346HFZ8
HLA-A	A0A346HFZ9
HLA-A	A0A346HG00
HLA-A	A0A346MPT7
HLA-A	A0A346MPT9
HLA-A	A0A346THJ1
HLA-A	A0A375B7H4
HLA-A	A0A375B7P5
HLA-A	A0A375B7T7
HLA-A	A0A376A8H6
HLA-A	A0A376A957
HLA-A	A0A385DNY9
HLA-A	A0A385H959
HLA-A	A0A385NKT9
HLA-A	A0A386IRK6
HLA-A	A0A386IRL1
HLA-A	A0A386IRN0
HLA-A	A0A386RUJ7
HLA-A	A0A386RVA3
HLA-A	A0A386RVU2
HLA-A	A0A386RW46
HLA-A	A0A387LBR7
HLA-A	A0A3B0PDB1
HLA-A	A0A3G1VFM0
HLA-A	A0A3G1Z2Q6
HLA-A	A0A3G2FPD9
HLA-A	A0A3G2FQP1
HLA-A	A0A3G2LWP4
HLA-A	A0A3G2LWQ6
HLA-A	A0A3G2LWU0
HLA-A	A0A3G2Y4K4
HLA-A	A0A3G4ISB2
HLA-A	A0A3G4R8Q6
HLA-A	A0A3G4R8Q7
HLA-A	A0A3G5BD32
HLA-A	A0A3G5BD33
HLA-A	A0A3G5BD36
HLA-A	A0A3G5BD37
HLA-A	A0A3G5BD46
HLA-A	A0A3G6II41
HLA-A	A0A3G6IIS6
HLA-A	A0A3G6ILP0
HLA-A	A0A3G6V369
HLA-A	A0A3G6V5V8
HLA-A	A0A3G6V6Y8
HLA-A	A0A3G9H9G9
HLA-A	A0A3G9H9M4
HLA-A	A0A3G9HKA4
HLA-A	A0A3G9HRF1
HLA-A	A0A3Q8U714
HLA-A	A0A3Q9B4Q6
HLA-A	A0A3S6REY6
HLA-A	A0A3S6REZ0
HLA-A	A0A3S6REZ3
HLA-A	A0A3S6RF03
HLA-A	A0A3S6RF10
HLA-A	A0A3S6RF12
HLA-A	A0A3S6RF15
HLA-A	A0A3S6RF20
HLA-A	A0A3S6RF24
HLA-A	A0A3S6RF26
HLA-A	A0A3S6RF29
HLA-A	A0A3S6RF32
HLA-A	A0A3S6RF33
HLA-A	A0A3S6RF34
HLA-A	A0A3S6RF40
HLA-A	A0A3S6RF41
HLA-A	A0A3S6RF43
HLA-A	A0A3S6RF45
HLA-A	A0A3S6RF48
HLA-A	A0A3S6RF49
HLA-A	A0A3S6RF51
HLA-A	A0A3S6RF54
HLA-A	A0A3S6RF55
HLA-A	A0A3S6RF58
HLA-A	A0A3S6RF59
HLA-A	A0A3S6RF64
HLA-A	A0A3S6RF66
HLA-A	A0A3S6RF68
HLA-A	A0A3S6RF85
HLA-A	A0A3S6RF90
HLA-A	A0A3S6RF92
HLA-A	A0A3S6RFA8
HLA-A	A0A3S6RFB0
HLA-A	A0A3S6RFB8
HLA-A	A0A3S6RFC0
HLA-A	A0A3S6RFC1
HLA-A	A0A3S6RFC3
HLA-A	A0A3S6RFC8
HLA-A	A0A3S6RFD8
HLA-A	A0A3S6RFD9
HLA-A	A0A3S6RFE6
HLA-A	A0A3S6RFF2
HLA-A	A0A3S6RFG5
HLA-A	A0A3S6RFG8
HLA-A	A0A3S6RFH1
HLA-A	A0A3S6RFH2
HLA-A	A0A3S6RFH3
HLA-A	A0A3S6RFH9
HLA-A	A0A3S6RFI0
HLA-A	A0A3S6RFI2
HLA-A	A0A3S6RFI7
HLA-A	A0A3S6RFJ1
HLA-A	A0A3S6RFJ2
HLA-A	A0A3S6RFJ7
HLA-A	A0A3S6RFK1
HLA-A	A0A3S6RFK6
HLA-A	A0A3S6RHK9
HLA-A	A0A3S6RHN6
HLA-A	A0A3S6RHP3
HLA-A	A0A3S6RHQ5
HLA-A	A0A3S6RHY6
HLA-A	A0A3S6RI04
HLA-A	A0A3S6RI13
HLA-A	A0A3S6RI14
HLA-A	A0A3S6RI20
HLA-A	A0A3S6RI33
HLA-A	A0A3S6RI42
HLA-A	A0A3S6RI73
HLA-A	A0A3S6RI93
HLA-A	A0A3S6RIA4
HLA-A	A0A3S6RIB1
HLA-A	A0A3S6RIB2
HLA-A	A0A3S6RIC3
HLA-A	A0A3S8IFC7
HLA-A	A0A3S8TKM8
HLA-A	A0A3S8XG76
HLA-A	A0A3T0TUN6
HLA-A	A0A3T1DFS0
HLA-A	A0A410JA26
HLA-A	A0A410P7W7
HLA-A	A0A410P821
HLA-A	A0A410P8C3
HLA-A	A0A410R970
HLA-A	A0A411AHI6
HLA-A	A0A411CX79
HLA-A	A0A411D3E2
HLA-A	A0A411E079
HLA-A	A0A411G9X3
HLA-A	A0A411GA17
HLA-A	A0A411J078
HLA-A	A0A411P2T1
HLA-A	A0A448W9G2
HLA-A	A0A455JRX1
HLA-A	A0A455JRZ0
HLA-A	A0A455JS00
HLA-A	A0A455JS07
HLA-A	A0A455JTM2
HLA-A	A0A455JTN7
HLA-A	A0A455JTQ2
HLA-A	A0A455JU01
HLA-A	A0A455JU13
HLA-A	A0A455JU27
HLA-A	A0A455JU33
HLA-A	A0A455JVC5
HLA-A	A0A455JVD8
HLA-A	A0A455JVE8
HLA-A	A0A455JVM8
HLA-A	A0A455JVN8
HLA-A	A0A455JVP0
HLA-A	A0A455JVP4
HLA-A	A0A455JVP7
HLA-A	A0A455JVQ1
HLA-A	A0A455JVR3
HLA-A	A0A455JVV0
HLA-A	A0A455JVV7
HLA-A	A0A455JVW4
HLA-A	A0A455JWW7
HLA-A	A0A455JWX6
HLA-A	A0A455JWY1
HLA-A	A0A455JWY2
HLA-A	A0A455WHI8
HLA-A	A0A455WIQ1
HLA-A	A0A455WJG6
HLA-A	A0A482CYH7
HLA-A	A0A482EVA8
HLA-A	A0A482GLQ3
HLA-A	A0A493QP44
HLA-A	A0A493QP46
HLA-A	A0A493QP47
HLA-A	A0A493QP49
HLA-A	A0A493QP50
HLA-A	A0A4D5YG03
HLA-A	A0A4D6NWB3
HLA-A	A0A4D6NWI6
HLA-A	A0A4D6NYZ2
HLA-A	A0A4D6NZ34
HLA-A	A0A4D6P079
HLA-A	A0A4E0U1N6
HLA-A	A0A4P2SQM7
HLA-A	A0A4P2SQN1
HLA-A	A0A4P2SQP7
HLA-A	A0A4P2SQQ2
HLA-A	A0A4P2SQR3
HLA-A	A0A4P2SQR5
HLA-A	A0A4P2SQS1
HLA-A	A0A4P2SQS3
HLA-A	A0A4P2SQS4
HLA-A	A0A4P2SQT5
HLA-A	A0A4P2SQT7
HLA-A	A0A4P2SQV2
HLA-A	A0A4P2SQW0
HLA-A	A0A4P2SQW8
HLA-A	A0A4P2SQX5
HLA-A	A0A4P2SQX9
HLA-A	A0A4P2SQY0
HLA-A	A0A4P2SQY3
HLA-A	A0A4P2SQY8
HLA-A	A0A4P2SQZ3
HLA-A	A0A4P2SQZ5
HLA-A	A0A4P2SQZ9
HLA-A	A0A4P2SR01
HLA-A	A0A4P2SR03
HLA-A	A0A4P2SR04
HLA-A	A0A4P2SR07
HLA-A	A0A4P2SR11
HLA-A	A0A4P2SR17
HLA-A	A0A4P2SR26
HLA-A	A0A4P2SR43
HLA-A	A0A4P2SR52
HLA-A	A0A4P2SR64
HLA-A	A0A4P2SR70
HLA-A	A0A4P2SR84
HLA-A	A0A4P2SR98
HLA-A	A0A4P2SRA6
HLA-A	A0A4P2SRE5
HLA-A	A0A4P2SRG2
HLA-A	A0A4P2SRG9
HLA-A	A0A4P2SRH7
HLA-A	A0A4P2SRI5
HLA-A	A0A4P2SRJ6
HLA-A	A0A4P2SRL1
HLA-A	A0A4P2SRN0
HLA-A	A0A4P2SRQ3
HLA-A	A0A4P2SRR6
HLA-A	A0A4P2SRS4
HLA-A	A0A4P2SRW8
HLA-A	A0A4P2SRY5
