Entrez.Gene,Symbol,metaZscore,metaPval,effect,Pval.adj,Bonferroni,maxFC,avgFC,BraakR,atrophyR
23476,BRD4,5.308345885,1.11E-07,+--+++,1.35E-06,0.002602996,1.53,1.11,,
64840,PORCN,-5.308187577,1.11E-07,--?---,1.35E-06,0.002605257,0.54,0.81,-0.6616,-0.5705
4548,MTR,-5.307642362,1.11E-07,-----+,1.35E-06,0.00261306,0.64,0.87,,
375033,PEAR1,5.307414587,1.11E-07,++?+++,1.35E-06,0.002616326,1.36,1.20,0.6525,0.5544
53947,A4GALT,5.307316353,1.11E-07,???+++,1.35E-06,0.002617736,1.59,1.28,0.6793,0.5661
9580,SOX13,5.307288645,1.11E-07,++++++,1.35E-06,0.002618134,1.27,1.16,0.5987,0.5339
55757,UGGT2,-5.306931959,1.11E-07,-----+,1.35E-06,0.00262326,0.74,0.85,,
1198,CLK3,5.306563618,1.12E-07,+++++?,1.36E-06,0.002628564,1.25,1.11,0.6539,0.504
2237,FEN1,-5.304354717,1.13E-07,-----+,1.37E-06,0.00266059,0.71,0.84,-0.6181,-0.4568
83759,RBM4B,5.30423686,1.13E-07,+++++-,1.37E-06,0.002662309,1.35,1.15,,0.5044
60488,MRPS35,-5.303135558,1.14E-07,------,1.38E-06,0.002678428,0.78,0.88,-0.6397,-0.4721
284214,,-5.303129321,1.14E-07,???--?,1.38E-06,0.002678519,0.64,0.70,,
5033,P4HA1,5.302718957,1.14E-07,++?++-,1.38E-06,0.002684549,1.36,1.13,,0.4654
5593,PRKG2,-5.302599011,1.14E-07,+-?---,1.38E-06,0.002686314,0.79,0.90,-0.6175,-0.4763
1265,CNN2,5.302510989,1.14E-07,+?++++,1.38E-06,0.00268761,1.52,1.23,0.6076,0.4937
91298,C12orf29,-5.301887064,1.15E-07,--?---,1.39E-06,0.002696814,0.54,0.78,-0.6197,-0.4628
8840,WISP1,5.301369547,1.15E-07,++?+++,1.39E-06,0.002704471,1.32,1.16,,
51616,TAF9B,-5.300387623,1.16E-07,--?---,1.40E-06,0.002719058,0.65,0.84,,
27098,CLUL1,-5.299380489,1.16E-07,--?---,1.40E-06,0.002734098,0.64,0.78,,
23158,TBC1D9,-5.298733686,1.17E-07,--?---,1.41E-06,0.0027438,0.60,0.76,-0.6698,-0.5343
28512,NKIRAS1,-5.298650171,1.17E-07,--?---,1.41E-06,0.002745055,0.52,0.76,-0.6386,-0.4817
