Entrez.Gene,Symbol,metaZscore,metaPval,effect,Pval.adj,Bonferroni,maxFC,avgFC,BraakR,atrophyR
63974,NEUROD6,-9.925505739,0,------,0,0,0.44,0.60,-0.7696,-0.6232
51538,ZCCHC17,-8.912947052,0,------,0,0,0.65,0.81,-0.7271,-0.5855
5475,PPEF1,-8.898961276,0,------,0,0,0.43,0.61,-0.7583,-0.6095
712,C1QA,8.763763582,0,?+++++,0,0,2.01,1.59,0.6066,0.4749
63905,MANBAL,-8.763738503,0,--?---,0,0,0.82,0.87,-0.7309,-0.575
627,BDNF,-8.740857157,0,--?---,0,0,0.49,0.61,-0.7556,-0.5796
1392,CRH,-8.73115969,0,--?---,0,0,0.31,0.54,-0.7707,-0.5751
3707,ITPKB,8.682682353,0,++++++,0,0,5.14,1.80,0.7548,0.5749
388341,FAM211A,-8.679768354,0,--?---,0,0,0.77,0.84,,
2289,FKBP5,8.588254626,0,++++++,0,0,2.24,1.56,0.7503,0.5765
64231,MS4A6A,8.572181903,0,++++++,0,0,1.70,1.43,0.6234,0.5078
78991,PCYOX1L,-8.571644979,0,------,0,0,0.44,0.67,-0.6449,-0.5866
1846,DUSP4,-8.514007678,0,--?---,0,0,0.57,0.70,-0.742,-0.5441
7108,TM7SF2,-8.493387281,0,--?---,0,0,0.63,0.78,-0.7054,-0.5671
6405,SEMA3F,8.470083757,0,++++++,0,0,1.78,1.32,0.6046,0.4836
9322,TRIP10,8.417986112,0,++++++,0,0,1.69,1.38,0.6882,0.5563
10184,LHFPL2,8.403735536,0,++++++,0,0,1.53,1.32,0.6608,0.557
9315,NREP,-8.392511545,0,------,0,0,0.57,0.75,,
381,ARF5,-8.351133963,0,------,0,0,0.51,0.78,-0.6948,-0.6016
84620,ST6GAL2,-8.324612464,0,--?---,0,0,0.67,0.75,-0.6711,-0.5531
56261,GPCPD1,-8.314139758,0,--?---,0,0,0.54,0.72,-0.6902,-0.5263
79930,DOK3,8.301197725,0,++?+++,0,0,1.38,1.27,0.5952,0.4672
3754,KCNF1,-8.29565201,0,------,0,0,0.62,0.78,-0.7353,-0.6074
4792,NFKBIA,8.281987631,2.22E-16,++?+++,2.01E-13,5.22E-12,2.38,1.54,0.7374,0.5844
29906,ST8SIA5,-8.26285385,2.22E-16,--?---,2.01E-13,5.22E-12,0.63,0.79,-0.6263,-0.493
26471,NUPR1,8.189889076,2.22E-16,++++++,2.01E-13,5.22E-12,2.18,1.66,0.7051,0.563
1802,DPH2,-8.14690964,4.44E-16,--?---,3.37E-13,1.04E-11,0.86,0.89,,-0.5235
887,CCKBR,-8.132866754,4.44E-16,------,3.37E-13,1.04E-11,0.61,0.71,-0.7221,-0.6074
26524,LATS2,8.119987301,4.44E-16,++?+++,3.37E-13,1.04E-11,3.57,1.57,0.712,0.5713
3017,HIST1H2BD,8.108210513,4.44E-16,++++++,3.37E-13,1.04E-11,2.22,1.46,,0.5037
83445,GSG1,-8.103899248,4.44E-16,???---,3.37E-13,1.04E-11,0.65,0.79,-0.6976,-0.528
8988,HSPB3,-8.089071899,6.66E-16,-?----,4.61E-13,1.57E-11,0.54,0.65,-0.7181,-0.6054
51299,NRN1,-8.08381845,6.66E-16,------,4.61E-13,1.57E-11,0.53,0.67,-0.7439,-0.6127
744,MPPED2,-8.062894384,6.66E-16,------,4.61E-13,1.57E-11,0.74,0.84,-0.7092,-0.5885
28231,SLCO4A1,8.05462784,8.88E-16,++++++,5.81E-13,2.09E-11,2.57,1.60,0.7148,0.5467
50813,COPS7A,-8.047901389,8.88E-16,------,5.81E-13,2.09E-11,0.49,0.76,-0.7427,-0.6113
7425,VGF,-7.966856956,1.55E-15,--?---,9.88E-13,3.66E-11,0.52,0.67,-0.7438,-0.5533
2014,EMP3,7.963075024,1.78E-15,++++++,1.07E-12,4.18E-11,2.02,1.39,0.6868,0.5581
824,CAPN2,7.962085026,1.78E-15,++++++,1.07E-12,4.18E-11,2.32,1.31,0.6576,0.5923
375057,C1orf95,-7.941999818,2.00E-15,--?---,1.18E-12,4.70E-11,0.70,0.79,-0.7219,-0.6097
23102,TBC1D2B,7.896421932,2.89E-15,++++++,1.66E-12,6.79E-11,1.52,1.20,0.738,0.5813
11177,BAZ1A,7.880121476,3.33E-15,++++++,1.82E-12,7.84E-11,1.73,1.33,0.6974,0.5429
10404,CPQ,7.876703903,3.33E-15,++++++,1.82E-12,7.84E-11,1.48,1.28,,
90121,TSR2,-7.86370503,3.77E-15,------,1.97E-12,8.88E-11,0.53,0.83,-0.6163,-0.5642
5134,PDCD2,-7.862987563,3.77E-15,-----+,1.97E-12,8.88E-11,0.56,0.81,-0.7352,-0.5695
5521,PPP2R2B,-7.857525153,4.00E-15,------,2.04E-12,9.40E-11,0.68,0.82,-0.697,-0.5838
29070,CCDC113,-7.84699804,4.22E-15,------,2.11E-12,9.93E-11,0.57,0.77,-0.6632,-0.5553
1051,CEBPB,7.844007442,4.44E-15,++++++,2.18E-12,1.04E-10,2.09,1.38,0.6617,0.4968
2670,GFAP,7.836778957,4.66E-15,++++++,2.24E-12,1.10E-10,6.75,1.93,0.7032,0.5378
604,BCL6,7.828165384,4.88E-15,++++++,2.30E-12,1.15E-10,2.19,1.44,0.714,0.5553
3936,LCP1,7.810150796,5.77E-15,?++++-,2.66E-12,1.36E-10,2.00,1.40,0.6467,0.5052
29005,,7.782407055,7.11E-15,???++?,3.22E-12,1.67E-10,1.56,1.45,,
54407,SLC38A2,7.776909696,7.33E-15,++++++,3.23E-12,1.72E-10,1.68,1.38,0.6373,0.548
51390,AIG1,-7.776383988,7.55E-15,------,3.23E-12,1.78E-10,0.73,0.84,-0.6387,-0.5581
83988,NCALD,-7.774712463,7.55E-15,------,3.23E-12,1.78E-10,0.45,0.66,-0.7312,-0.5916
6503,SLA,7.74345367,9.77E-15,++?+++,4.11E-12,2.30E-10,1.53,1.35,0.6547,0.5121
129804,FBLN7,-7.719485028,1.18E-14,--?---,4.77E-12,2.77E-10,0.56,0.72,-0.7185,-0.5808
8437,RASAL1,-7.71912946,1.18E-14,------,4.77E-12,2.77E-10,0.70,0.80,,-0.4954
677,ZFP36L1,7.710294972,1.27E-14,++++++,4.96E-12,2.98E-10,3.43,1.53,0.7076,0.5837
8795,TNFRSF10B,7.710257322,1.27E-14,++++++,4.96E-12,2.98E-10,2.51,1.42,0.721,0.5292
3059,HCLS1,7.705434981,1.31E-14,++++++,5.05E-12,3.08E-10,1.63,1.34,0.6431,0.4898
4711,NDUFB5,-7.695953941,1.40E-14,------,5.31E-12,3.29E-10,0.49,0.78,-0.6687,-0.5213
79651,RHBDF2,7.692076054,1.44E-14,++?+++,5.39E-12,3.40E-10,1.85,1.36,0.7058,0.5338
2119,ETV5,-7.687130547,1.51E-14,--?---,5.55E-12,3.55E-10,0.69,0.79,-0.6749,-0.4955
2922,GRP,-7.682945995,1.55E-14,?-?--+,5.63E-12,3.66E-10,0.58,0.81,-0.7007,-0.5512
8793,TNFRSF10D,7.678765972,1.60E-14,++?+++,5.70E-12,3.76E-10,2.43,1.45,0.7138,0.5495
241,ALOX5AP,7.676191957,1.64E-14,?++++-,5.77E-12,3.87E-10,1.78,1.47,0.6022,0.4703
122616,C14orf79,-7.672967145,1.69E-14,--?---,5.84E-12,3.97E-10,0.76,0.84,-0.6275,-0.5481
284424,MIR7-3HG,-7.669074543,1.73E-14,------,5.91E-12,4.08E-10,0.42,0.65,,
85363,TRIM5,7.657387504,1.89E-14,++?+++,6.34E-12,4.44E-10,1.39,1.21,0.6837,0.5662
7781,SLC30A3,-7.637171244,2.22E-14,--?---,7.33E-12,5.22E-10,0.58,0.74,-0.7362,-0.6165
113451,ADC,-7.635799906,2.24E-14,------,7.33E-12,5.28E-10,0.76,0.85,-0.6299,-0.5407
4481,MSR1,7.631610146,2.31E-14,++?++-,7.44E-12,5.43E-10,1.69,1.36,0.6136,0.5105
4299,AFF1,7.629274149,2.35E-14,++++++,7.48E-12,5.54E-10,1.90,1.31,0.7635,0.6176
9481,SLC25A27,-7.610914489,2.73E-14,--?---,8.57E-12,6.43E-10,0.65,0.79,-0.668,-0.533
338557,FFAR4,-7.607490618,2.80E-14,-??---,8.66E-12,6.58E-10,0.64,0.78,,
10244,RABEPK,-7.604921898,2.84E-14,------,8.69E-12,6.69E-10,0.60,0.84,-0.7148,-0.5526
80344,DCAF11,-7.601503688,2.93E-14,--?---,8.84E-12,6.90E-10,0.78,0.88,-0.6429,-0.5335
10126,DNAL4,-7.596412335,3.04E-14,--?---,9.06E-12,7.16E-10,0.80,0.87,,-0.5136
202052,DNAJC18,-7.58861484,3.24E-14,--?---,9.48E-12,7.63E-10,0.77,0.84,-0.6415,-0.5241
166752,FREM3,-7.587137855,3.26E-14,--?---,9.48E-12,7.68E-10,0.46,0.64,-0.7287,-0.5917
79015,LOC79015,-7.569585963,3.75E-14,--?---,1.08E-11,8.83E-10,0.58,0.78,,
10421,CD2BP2,-7.555024171,4.20E-14,------,1.19E-11,9.87E-10,0.61,0.80,-0.6313,-0.5369
89857,KLHL6,7.548197965,4.42E-14,?+?+++,1.24E-11,1.04E-09,1.59,1.29,0.6124,0.5057
3316,HSPB2,7.547042121,4.46E-14,+++++?,1.24E-11,1.05E-09,1.66,1.25,0.604,0.5514
8934,RAB7L1,7.527927682,5.15E-14,++++++,1.40E-11,1.21E-09,1.59,1.29,0.6935,0.5645
7132,TNFRSF1A,7.527268118,5.17E-14,+-++++,1.40E-11,1.22E-09,1.89,1.41,0.701,0.5242
5999,RGS4,-7.520146913,5.46E-14,------,1.46E-11,1.29E-09,0.40,0.60,-0.7244,-0.5765
55154,MSTO1,-7.509690435,5.93E-14,--?--?,1.57E-11,1.39E-09,0.72,0.80,-0.6241,-0.5442
7011,TEP1,7.498367864,6.46E-14,++++++,1.69E-11,1.52E-09,1.51,1.24,0.6878,0.594
285780,LY86-AS1,-7.495032797,6.64E-14,--?--+,1.70E-11,1.56E-09,0.60,0.75,,
29985,SLC39A3,-7.494316549,6.66E-14,--?---,1.70E-11,1.57E-09,0.74,0.86,-0.66,-0.5655
5058,PAK1,-7.491655126,6.79E-14,------,1.72E-11,1.60E-09,0.44,0.67,-0.7004,-0.588
972,CD74,7.489677952,6.91E-14,++?+++,1.73E-11,1.62E-09,1.60,1.39,,
2669,GEM,7.484338758,7.19E-14,++?+++,1.78E-11,1.69E-09,2.30,1.61,0.6832,0.541
6850,SYK,7.475149112,7.70E-14,++?+++,1.89E-11,1.81E-09,1.39,1.23,,0.4835
2176,FANCC,7.464153521,8.39E-14,++?+++,2.04E-11,1.97E-09,1.40,1.19,0.641,0.557
58475,MS4A7,7.462213191,8.50E-14,++?++?,2.04E-11,2.00E-09,1.81,1.57,0.6017,0.4935
9854,C2CD2L,-7.458536006,8.75E-14,------,2.08E-11,2.06E-09,0.75,0.86,-0.696,-0.5784
65980,BRD9,-7.454745752,9.02E-14,--?--+,2.12E-11,2.12E-09,0.54,0.83,,-0.49
79656,BEND5,-7.447231328,9.53E-14,------,2.22E-11,2.24E-09,0.56,0.76,-0.6992,-0.5422
25979,DHRS7B,-7.445893071,9.64E-14,------,2.22E-11,2.27E-09,0.56,0.82,-0.5956,-0.5081
51196,PLCE1,7.427715084,1.11E-13,++?+++,2.50E-11,2.60E-09,2.54,1.43,0.7013,0.5801
5725,PTBP1,7.427555106,1.11E-13,++++++,2.50E-11,2.60E-09,1.69,1.29,0.701,0.5553
7462,LAT2,7.425148452,1.13E-13,?+?+++,2.52E-11,2.65E-09,1.80,1.35,0.6263,0.4705
2615,LRRC32,7.414330866,1.22E-13,++++++,2.72E-11,2.88E-09,1.81,1.38,0.6842,0.5253
128346,C1orf162,7.408112308,1.28E-13,-+++++,2.82E-11,3.01E-09,1.76,1.27,0.6913,0.5251
23269,MGA,7.404919905,1.31E-13,++?+++,2.86E-11,3.09E-09,1.57,1.24,0.6722,0.5072
3895,KTN1,7.401364628,1.35E-13,++?+++,2.91E-11,3.17E-09,3.33,1.53,0.7064,0.6059
10241,CALCOCO2,7.395051673,1.41E-13,++?+++,2.97E-11,3.33E-09,1.62,1.26,0.7272,0.6133
3600,IL15,7.394545207,1.42E-13,++?+++,2.97E-11,3.34E-09,1.21,1.17,,0.4838
8455,ATRN,-7.393721011,1.43E-13,------,2.97E-11,3.36E-09,0.58,0.81,,-0.5076
29094,LGALSL,-7.393234809,1.43E-13,--?---,2.97E-11,3.37E-09,0.70,0.80,,
92856,IMP4,-7.391803485,1.45E-13,------,2.97E-11,3.41E-09,0.72,0.87,-0.7558,-0.6186
7805,LAPTM5,7.390765597,1.46E-13,++++++,2.97E-11,3.43E-09,1.57,1.35,0.5915,0.4535
25825,BACE2,7.390497367,1.46E-13,++++++,2.97E-11,3.44E-09,1.54,1.29,0.605,0.4701
10312,TCIRG1,7.38801823,1.49E-13,?+++++,3.00E-11,3.51E-09,1.58,1.29,0.6656,0.537
252839,TMEM9,-7.384387987,1.53E-13,------,3.06E-11,3.61E-09,0.81,0.90,-0.6773,-0.5423
148932,MOB3C,7.377241915,1.62E-13,++?+++,3.20E-11,3.80E-09,1.53,1.22,,
9261,MAPKAPK2,7.373425868,1.66E-13,+++++-,3.26E-11,3.91E-09,1.65,1.31,0.7021,0.556
7335,UBE2V1,-7.371518157,1.69E-13,??---?,3.28E-11,3.97E-09,0.83,0.86,-0.7136,-0.5972
284485,RIIAD1,-7.358986331,1.85E-13,--?---,3.58E-11,4.36E-09,0.63,0.75,,
7133,TNFRSF1B,7.357623034,1.87E-13,++++++,3.58E-11,4.40E-09,1.61,1.31,0.6661,0.4964
10212,DDX39A,7.355739398,1.90E-13,+++++-,3.60E-11,4.47E-09,1.40,1.20,,
257106,ARHGAP30,7.352972116,1.94E-13,++?+++,3.65E-11,4.56E-09,1.42,1.25,0.6275,0.4895
114907,FBXO32,7.351000526,1.97E-13,++++++,3.67E-11,4.63E-09,5.24,1.49,,0.5473
148753,FAM163A,-7.349487881,1.99E-13,--?---,3.69E-11,4.68E-09,0.67,0.83,-0.6731,-0.5638
84317,CCDC115,-7.346142614,2.04E-13,-----+,3.75E-11,4.80E-09,0.67,0.84,-0.6431,-0.5549
1153,CIRBP,-7.338248475,2.16E-13,-----+,3.95E-11,5.09E-09,0.50,0.69,-0.6174,-0.5369
7102,TSPAN7,-7.328511731,2.33E-13,------,4.21E-11,5.48E-09,0.58,0.74,-0.6722,-0.602
170261,ZCCHC12,-7.323026145,2.42E-13,------,4.36E-11,5.71E-09,0.48,0.66,-0.6945,-0.5649
29106,SCG3,-7.303046701,2.81E-13,------,5.01E-11,6.62E-09,0.67,0.78,-0.687,-0.5405
1436,CSF1R,7.297568587,2.93E-13,++++++,5.19E-11,6.90E-09,1.48,1.30,,
6275,S100A4,7.29443553,3.00E-13,?+?+++,5.27E-11,7.06E-09,1.77,1.41,0.6072,0.5486
11326,VSIG4,7.285735542,3.20E-13,++?+++,5.58E-11,7.53E-09,1.96,1.43,0.6429,0.5194
714,C1QC,7.284261106,3.24E-13,++?+++,5.60E-11,7.61E-09,1.72,1.38,0.5982,0.4535
400796,,-7.282846697,3.27E-13,???--?,5.61E-11,7.69E-09,0.63,0.70,,
56915,EXOSC5,-7.278878805,3.37E-13,--?---,5.74E-11,7.92E-09,0.56,0.79,-0.6795,-0.5746
6282,S100A11,7.277545062,3.40E-13,?+++++,5.74E-11,8.00E-09,1.85,1.45,0.6492,0.4811
55915,LANCL2,-7.276822443,3.42E-13,--?---,5.74E-11,8.04E-09,0.73,0.83,-0.6986,-0.5945
51239,ANKRD39,-7.276034668,3.44E-13,------,5.74E-11,8.09E-09,0.67,0.81,-0.7225,-0.6106
55800,SCN3B,-7.271510484,3.55E-13,--?---,5.89E-11,8.36E-09,0.50,0.70,-0.7145,-0.5707
2941,GSTA4,-7.265267936,3.72E-13,------,6.13E-11,8.76E-09,0.62,0.78,-0.6856,-0.5606
26268,FBXO9,-7.260838745,3.85E-13,--?---,6.29E-11,9.05E-09,0.50,0.73,-0.6957,-0.5115
10577,NPC2,7.246660495,4.27E-13,++++++,6.93E-11,1.01E-08,1.38,1.27,0.6758,0.5556
828,CAPS,7.244172451,4.35E-13,++++++,6.98E-11,1.02E-08,1.96,1.33,0.6108,0.5517
3920,LAMP2,7.243895477,4.36E-13,+++++-,6.98E-11,1.03E-08,2.03,1.43,0.6207,0.5376
112616,CMTM7,7.241883643,4.43E-13,++++++,7.04E-11,1.04E-08,1.49,1.19,,0.4572
5889,RAD51C,-7.228989191,4.86E-13,------,7.68E-11,1.14E-08,0.68,0.79,-0.6139,-0.5484
5187,PER1,7.220379237,5.18E-13,++++++,8.11E-11,1.22E-08,1.53,1.26,0.6277,0.4886
10049,DNAJB6,7.219440874,5.22E-13,+++++-,8.11E-11,1.23E-08,1.78,1.40,0.5936,0.5076
28999,KLF15,7.218209671,5.27E-13,++++++,8.11E-11,1.24E-08,1.71,1.40,0.7262,0.5804
7007,TECTA,-7.217421905,5.30E-13,--?---,8.11E-11,1.25E-08,0.69,0.82,-0.6615,-0.5857
66036,MTMR9,-7.217186193,5.31E-13,------,8.11E-11,1.25E-08,0.59,0.82,,
4857,NOVA1,-7.209369519,5.62E-13,--?---,8.49E-11,1.32E-08,0.75,0.84,-0.6427,-0.5296
285,ANGPT2,7.209135116,5.63E-13,++?+++,8.49E-11,1.32E-08,1.92,1.46,0.6527,0.5454
29940,DSE,7.207558175,5.70E-13,++?+++,8.54E-11,1.34E-08,1.40,1.25,0.7104,0.5557
6774,STAT3,7.202729395,5.90E-13,++?+++,8.79E-11,1.39E-08,1.81,1.29,0.6846,0.5114
80263,TRIM45,-7.193721708,6.30E-13,--?--+,9.33E-11,1.48E-08,0.79,0.86,,-0.4628
1032,CDKN2D,-7.186483135,6.65E-13,-----+,9.75E-11,1.56E-08,0.73,0.83,-0.7374,-0.6193
29933,GPR132,7.185188783,6.71E-13,???+++,9.75E-11,1.58E-08,1.27,1.17,,
6622,SNCA,-7.18512995,6.71E-13,------,9.75E-11,1.58E-08,0.51,0.74,-0.6596,-0.551
285282,RABL3,-7.180998765,6.92E-13,--?---,9.99E-11,1.63E-08,0.76,0.87,,-0.4484
10969,EBNA1BP2,-7.179525194,6.99E-13,------,1.00E-10,1.65E-08,0.61,0.79,-0.6508,-0.5184
85464,SSH2,7.174996312,7.23E-13,-+++++,1.03E-10,1.70E-08,1.35,1.14,0.6554,0.5256
2796,GNRH1,7.171121963,7.44E-13,++?++-,1.05E-10,1.75E-08,1.35,1.17,0.7234,0.6011
55168,MRPS18A,-7.17030345,7.48E-13,-----+,1.05E-10,1.76E-08,0.76,0.88,-0.669,-0.5621
1052,CEBPD,7.163690268,7.85E-13,++?+++,1.10E-10,1.85E-08,2.76,1.64,0.6714,0.5094
1122,CHML,-7.159099877,8.12E-13,------,1.13E-10,1.91E-08,0.59,0.78,-0.7105,-0.5575
1308,COL17A1,-7.15762426,8.21E-13,???--+,1.14E-10,1.93E-08,0.81,0.88,,
64098,PARVG,7.155863696,8.32E-13,?+?+++,1.14E-10,1.96E-08,1.32,1.21,0.6107,-0.567
8673,VAMP8,7.154546468,8.40E-13,++++++,1.15E-10,1.98E-08,1.69,1.31,0.6045,0.4687
719,C3AR1,7.151668751,8.57E-13,++?+++,1.17E-10,2.02E-08,1.58,1.35,,0.4944
23764,MAFF,7.147664037,8.83E-13,++?+++,1.19E-10,2.08E-08,3.49,1.79,0.6636,0.4991
52,ACP1,-7.14506979,9.00E-13,------,1.19E-10,2.12E-08,0.55,0.78,-0.7076,-0.5617
84689,MS4A14,7.144882382,9.01E-13,++?++?,1.19E-10,2.12E-08,1.61,1.35,0.6036,0.5092
6696,SPP1,7.144853199,9.01E-13,++++++,1.19E-10,2.12E-08,1.93,1.61,0.639,0.5006
55617,TASP1,-7.144799185,9.01E-13,--?---,1.19E-10,2.12E-08,0.51,0.72,-0.7314,-0.5831
22986,SORCS3,-7.141634326,9.22E-13,------,1.21E-10,2.17E-08,0.66,0.77,-0.6536,-0.5592
151760,,-7.139480356,9.37E-13,???--?,1.22E-10,2.20E-08,0.80,0.84,,
9499,MYOT,7.138758857,9.42E-13,+++++-,1.22E-10,2.22E-08,2.06,1.46,0.6514,0.516
84830,ADTRP,-7.134203618,9.73E-13,--?---,1.26E-10,2.29E-08,0.35,0.65,,
2002,ELK1,7.132699378,9.84E-13,++++++,1.26E-10,2.32E-08,1.38,1.23,0.6476,0.4844
55303,GIMAP4,7.132129107,9.88E-13,++++++,1.26E-10,2.33E-08,1.45,1.23,0.6531,0.5751
2937,GSS,-7.130082983,1.00E-12,-----+,1.28E-10,2.36E-08,0.65,0.83,-0.6552,-0.5708
6804,STX1A,-7.127565372,1.02E-12,------,1.29E-10,2.40E-08,0.73,0.82,-0.658,-0.5812
6542,SLC7A2,7.123470394,1.05E-12,++?+++,1.32E-10,2.48E-08,3.49,1.72,0.7208,0.5786
85301,COL27A1,7.120061544,1.08E-12,++?+++,1.35E-10,2.54E-08,3.75,1.55,0.6057,0.5559
7260,TSSC1,-7.116557926,1.11E-12,------,1.37E-10,2.60E-08,0.78,0.86,-0.7051,-0.5767
10437,IFI30,7.115575471,1.11E-12,??++++,1.37E-10,2.62E-08,1.97,1.54,0.5931,
839,CASP6,7.115575438,1.11E-12,++?+++,1.37E-10,2.62E-08,2.16,1.33,0.6978,0.574
7305,TYROBP,7.113187571,1.13E-12,++?+++,1.39E-10,2.67E-08,1.59,1.32,,0.4416
79740,ZBBX,-7.112735205,1.14E-12,--?---,1.39E-10,2.68E-08,0.52,0.72,,-0.5279
201229,LYRM9,-7.111767165,1.15E-12,--?--?,1.39E-10,2.70E-08,0.43,0.63,,
51023,MRPS18C,-7.105757936,1.20E-12,------,1.44E-10,2.82E-08,0.63,0.82,-0.6087,-0.5037
134510,UBLCP1,-7.099521502,1.25E-12,------,1.49E-10,2.95E-08,0.50,0.74,-0.6807,-0.5465
58526,MID1IP1,7.099341586,1.25E-12,++++++,1.49E-10,2.95E-08,1.95,1.42,0.6119,0.4737
83660,TLN2,-7.098781459,1.26E-12,------,1.49E-10,2.96E-08,0.69,0.83,-0.643,-0.5795
6750,SST,-7.097967779,1.27E-12,--?---,1.49E-10,2.98E-08,0.22,0.48,-0.7261,-0.5634
26355,FAM162A,-7.097881486,1.27E-12,--?---,1.49E-10,2.98E-08,0.50,0.74,-0.646,-0.5128
57574,Mar-04,-7.093529077,1.31E-12,--?---,1.53E-10,3.08E-08,0.73,0.82,,-0.5798
1837,DTNA,7.083561754,1.40E-12,++++++,1.63E-10,3.31E-08,3.23,1.50,0.7034,0.5976
7024,TFCP2,-7.083431571,1.41E-12,------,1.63E-10,3.31E-08,0.50,0.82,,
441089,RP11-323H21.4,-7.081260577,1.43E-12,???--?,1.65E-10,3.36E-08,0.89,0.91,,
834,CASP1,7.079953017,1.44E-12,++?+++,1.66E-10,3.39E-08,1.56,1.25,0.6033,0.474
80305,TRABD,7.071746405,1.53E-12,+-++++,1.75E-10,3.60E-08,1.37,1.14,0.7372,0.5698
79145,CHCHD7,-7.064436124,1.61E-12,--?---,1.83E-10,3.79E-08,0.57,0.80,-0.6314,-0.527
7803,PTP4A1,-7.064143311,1.62E-12,--?---,1.83E-10,3.80E-08,0.48,0.71,-0.621,-0.512
5829,PXN,7.051476102,1.77E-12,++?+++,1.99E-10,4.17E-08,1.54,1.24,0.7301,0.5561
26106,,-7.048964919,1.80E-12,???--?,2.02E-10,4.24E-08,0.74,0.79,,
5510,PPP1R7,-7.047862245,1.82E-12,------,2.03E-10,4.27E-08,0.59,0.83,-0.7259,-0.5813
400043,LOC400043,7.046447953,1.84E-12,++?++?,2.04E-10,4.32E-08,1.42,1.25,,
10923,SUB1,-7.04511588,1.85E-12,------,2.05E-10,4.36E-08,0.54,0.76,-0.7003,-0.5385
8797,TNFRSF10A,7.042971645,1.88E-12,++?+++,2.07E-10,4.43E-08,1.32,1.16,,0.4591
966,CD59,7.036322786,1.97E-12,++?+++,2.15E-10,4.64E-08,1.53,1.31,0.7094,0.5628
151657,,7.03616098,1.98E-12,???++?,2.15E-10,4.65E-08,1.22,1.18,,
9409,PEX16,-7.034939467,1.99E-12,-----+,2.16E-10,4.69E-08,0.66,0.86,,-0.5135
150166,,7.029268887,2.08E-12,???++?,2.24E-10,4.89E-08,1.45,1.34,,
3875,KRT18,7.028772428,2.08E-12,??++++,2.24E-10,4.90E-08,1.51,1.18,,
64769,MEAF6,-7.020715059,2.21E-12,------,2.36E-10,5.19E-08,0.61,0.81,-0.667,-0.5461
8508,NIPSNAP1,-7.018793515,2.24E-12,------,2.38E-10,5.27E-08,0.55,0.78,-0.7019,-0.5667
5269,SERPINB6,7.018576268,2.24E-12,++++++,2.38E-10,5.27E-08,2.38,1.32,0.6819,0.5542
7334,UBE2N,-7.017083859,2.27E-12,------,2.39E-10,5.33E-08,0.56,0.76,-0.6435,-0.4802
143162,FRMPD2,-7.015888842,2.28E-12,???--+,2.40E-10,5.38E-08,0.51,0.71,-0.7585,-0.5988
837,CASP4,7.01379744,2.32E-12,++?+++,2.43E-10,5.46E-08,1.56,1.25,0.63,0.485
3606,IL18,7.00925079,2.40E-12,?+++++,2.49E-10,5.64E-08,1.76,1.35,0.5942,0.5083
51016,EMC9,-7.003246992,2.50E-12,------,2.59E-10,5.88E-08,0.67,0.85,,
10417,SPON2,-7.002984387,2.51E-12,??---?,2.59E-10,5.90E-08,0.48,0.62,-0.7431,-0.5282
2207,FCER1G,6.997293717,2.61E-12,++?+++,2.68E-10,6.14E-08,1.78,1.35,0.6051,0.4457
266812,NAP1L5,-6.995959521,2.63E-12,------,2.70E-10,6.20E-08,0.25,0.62,-0.7004,-0.5794
64147,KIF9,-6.989576779,2.76E-12,--?---,2.80E-10,6.49E-08,0.50,0.77,-0.6703,-0.5727
3423,IDS,-6.989565396,2.76E-12,--?---,2.80E-10,6.49E-08,0.79,0.83,-0.717,-0.6179
10095,ARPC1B,6.988004821,2.79E-12,++++++,2.82E-10,6.56E-08,1.65,1.27,0.6103,0.4944
282974,STK32C,-6.986955731,2.81E-12,------,2.82E-10,6.61E-08,0.75,0.84,-0.6284,-0.51
197259,MLKL,6.982996427,2.89E-12,++?+++,2.87E-10,6.80E-08,1.63,1.25,0.6482,0.5141
6510,SLC1A5,6.982989657,2.89E-12,-+++++,2.87E-10,6.80E-08,1.67,1.20,0.632,0.4845
63924,CIDEC,-6.982737633,2.89E-12,--?--+,2.87E-10,6.81E-08,0.84,0.90,-0.6873,-0.5968
3587,IL10RA,6.982237292,2.91E-12,++?+++,2.87E-10,6.84E-08,1.43,1.28,0.5946,0.4691
3704,ITPA,-6.981385821,2.92E-12,--?---,2.88E-10,6.88E-08,0.73,0.85,-0.6387,-0.5361
694,BTG1,6.976920679,3.02E-12,++++++,2.96E-10,7.10E-08,1.63,1.25,0.699,0.556
158763,ARHGAP36,-6.97417005,3.08E-12,+-?---,3.00E-10,7.24E-08,0.71,0.88,,
143279,HECTD2,-6.972365298,3.12E-12,--?---,3.03E-10,7.33E-08,0.69,0.78,-0.6107,-0.5169
220202,ATOH7,-6.967550455,3.22E-12,--?---,3.12E-10,7.59E-08,0.49,0.78,-0.659,-0.526
84674,CARD6,6.958383751,3.44E-12,???+++,3.32E-10,8.10E-08,1.41,1.23,0.6872,0.5893
55972,SLC25A40,-6.956610634,3.49E-12,--?---,3.35E-10,8.20E-08,0.57,0.78,-0.6057,-0.4645
4817,NIT1,-6.95326854,3.57E-12,-----+,3.41E-10,8.40E-08,0.67,0.85,-0.6538,-0.541
140,ADORA3,6.952787678,3.58E-12,++?+++,3.41E-10,8.43E-08,1.75,1.31,0.65,0.5184
26273,FBXO3,-6.951035233,3.63E-12,--?---,3.44E-10,8.53E-08,0.58,0.77,-0.6607,-0.5568
